sentence pair id,evaluator id,score,human translation,machine translation,original
BG_SE_1,BBC_Bulgarian_01,45,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_1,DW_Bulgarian_01,52,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_1,BBC_Bulgarian_03,46,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_1,DW_Bulgarian_02,49,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_1,BBC_Bulgarian_02,44,Защо американският флаг се развява? ,Как се развява това американско знаме?,How did that US flag wave?
BG_SE_2,DW_Bulgarian_02,17,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_2,BBC_Bulgarian_01,9,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_2,DW_Bulgarian_01,13,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_2,BBC_Bulgarian_03,15,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_2,BBC_Bulgarian_02,12,Като този пожар в столицата на Аляска Енкоридж. ,Като този пожар в столицата на Аляска - Анкоридж.,"Like this fire in Alaska's capital, Anchorage. "
BG_SE_4,BBC_Bulgarian_01,92,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_4,DW_Bulgarian_01,94,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_4,DW_Bulgarian_02,90,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_4,BBC_Bulgarian_02,96,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_4,BBC_Bulgarian_03,94,Но от това губят не само големите индустриални фирми.,Но не големите индустрии страдат най-много.,But it is not the big industries that suffer the most. 
BG_SE_5,BBC_Bulgarian_02,11,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_5,BBC_Bulgarian_01,14,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_5,DW_Bulgarian_01,17,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_5,BBC_Bulgarian_03,15,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_5,DW_Bulgarian_02,13,По това време съдебното разследване срещу мен вече течеше. ,Към този момент вече са в ход наказателни разследвания.,"At this point, criminal investigations were already underway. "
BG_SE_6,DW_Bulgarian_02,63,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_6,BBC_Bulgarian_03,65,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_6,BBC_Bulgarian_01,64,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_6,BBC_Bulgarian_02,66,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_6,DW_Bulgarian_01,69,Евгений: По това време аз бях сам в Москва. ,Евгений: По това време бях сам в Москва.,Yevgeny: I was alone in Moscow at that time. 
BG_SE_7,BBC_Bulgarian_01,81,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_7,DW_Bulgarian_01,81,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_7,BBC_Bulgarian_02,80,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_7,BBC_Bulgarian_03,79,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_7,DW_Bulgarian_02,85,"на кучетата, които обичайно теглят шейни в снега, им се налага да си пробиват път през разтопения лед на фиорда Айгълфийлд. ","Кучета, които обикновено дърпат шейни в снега трябва да направят своя път през топене лед на Igelfield Fjord.",Dogs that normally pull sleds in the snow have to make their wayacross melting ice on Igelfield Fjord. 
BG_SE_8,DW_Bulgarian_01,94,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_8,BBC_Bulgarian_03,91,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_8,DW_Bulgarian_02,92,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_8,BBC_Bulgarian_02,98,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_8,BBC_Bulgarian_01,91,"Много култури имат легенди за човешко същество или божество, което заради провинения е било прокудено на Луната. ","Много култури имат истории за действителен човек или божество, който е извършил някакво деяние и е бил заточен на Луната за него.",Many cultures have tales about an actual person  or a deity who committed some kind of misdeed and was banished to the moon for it. 
BG_SE_9,BBC_Bulgarian_01,17,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_9,DW_Bulgarian_01,21,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_9,BBC_Bulgarian_03,23,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_9,DW_Bulgarian_02,16,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_9,BBC_Bulgarian_02,17,"Независимо дали сега някои в Русия унищожават дисковете си с ""Рамщайн"", групата ни най-малко не се смущава от случилото се. ","Независимо дали някои хора вече унищожават своите компактдискове на Rammstein в Русия, групата изглежда необезпокоявана от случилото се.","Whether or not some people are now destroying their Rammstein CDs in Russia, the band seems unfazed by what happened."
BG_SE_10,DW_Bulgarian_01,61,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_10,BBC_Bulgarian_02,56,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_10,BBC_Bulgarian_01,51,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_10,DW_Bulgarian_02,56,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_10,BBC_Bulgarian_03,51,﻿Допреди няколко седмици Андрей Ваганов и Евгений Ерофеев нямали проблеми с руските власти. ,Само преди няколко седмици Андрей Ваганов и Евгений Йерфеев нямаха проблем с руските власти.,"Only a few weeks ago, Andrei Vaganov and Yevgeny Yerofeyev had no problem with the Russian authorities. "
BG_SE_11,BBC_Bulgarian_01,22,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
BG_SE_11,BBC_Bulgarian_03,20,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
BG_SE_11,BBC_Bulgarian_02,27,Това е обратното на забавлението. ,"""Това е обратното на забавление"".",“That's the opposite of entertainment.” 
